ID,Domain,Sub-Domain,Tags,Use Case,Key Capability,Capability,Level,Capability at Level,Features,Scoring Criteria at Level,Questions,Answers,Score,Scoring Justification,Notes,Backlog Story Title,Backlog Story Description,Implementation Activity,Primary Resources,,
SaG.1.2.1,Strategy & Governance,Communications,"#Sustainability
","#TM
",Yes,Communications Strategy,1,The organization has established coordination and commitment between the TBO and Communications teams to partner on a Communications Strategy. Initial communications have been delivered to change agents and critical staff. ,"- Communications Team Awareness
- Communications Team Commitment
- Communications Plan for Plan (enterprise)
- Communications Plan
--- Executive Sponsor
--- Critical Working Partners","- Communications team is aware of (and understands) the Cloud Vision, Strategy, and Objectives that have been established by the TBO
- Communications team has made a commitment to participating in the cloud adoption journey and has prioritized the work/efforts required to produce and execute the Communications Strategy
- TBO & Communications Team have established a plan for the Communications Plan at the Enterprise level
- A detailed Communications Plan & Strategy exists for two important stakeholder groups - the Executive Sponsor, and Critical Working Partners (this is traditionally a TBO-led communications strategy/delivery)
- Initial communications have been delivered to the Executive Sponsor and Critical Working Partners (traditionally those high-level liaisons with representation from one or more ... Security, Operations, Enterprise Architecture, DevOps, and Application Development)
- Communications focus is on Awareness (with a goal of obtaining approval and direction for the cloud program)

",Describe the  transformation communication program in place today. Describe the sustainable transformation communication program in place today. ,,,,"Please note a TBO is a cross functional body that can be adapted to a Migration Business Office or a  Sustainability Oversight Committee for example. These concepts apply equally depending on the need for oversight and communication. If conducting a composable engagement such as sustainability, change the name of the committee to match the engagement (like Sustainability Oversight Committee (SOC)). ",Communications Team Awareness & Commitment,The organization has established coordination and commitment between the TBO and Communications teams to partner on a Communications Strategy. Initial communications have been delivered to change agents and critical staff.,"- Ratify and explain the Cloud Vision, Strategy, and Objectives that have been established by the TBO with the Communications Team, such that they are aware of (and understands)
- Establish a commitment from the Communications to partner with the TBO to plan and execute a cloud adoption and cloud operating model strategy
- Conduct initial and informal facet of the overall communications strategy - brief Executive Sponsorship and critical working partners on the critical concepts, catalysts, vision, strategy, objectives, and charter for the TBO, Cloud Adoption, and the Cloud Operating Model",,,
SaG.1.2.2,Strategy & Governance,Communications,"#Sustainability
","#TM
",Yes,Communications Strategy,2,"The organization has established a robust communications plan that includes a comprehensive representation of stakeholders across the enterprise. Communications have been delivered to the Executive Steering Committee and other key (IT and Business) executives across the enterprise, critical functional area partners, and broader audiences from IT and the Business.","- Communications Team Alignment
- Communications Stakeholder Map
- Communications Plan
--- Executives
--- Critical Functional Area Partners
--- Broad Audiences (IT Staff & Business)
- Communication Channels & Mediums","- The Communications Team now has complete alignment with the cloud vision, strategy, and objectives
- The organization has identified and detailed a comprehensive stakeholder map, and leverages these stakeholders/groups in their comprehensive communications plan
- The communications plan is now comprehensive, and includes the Executive Steering Committee, Executive Sponsor, other Executives, and Functional Area Leads across the organization
- Comprehensive and deliberate communication channels and mediums have been established as part of the communications strategy (e.g. town halls, email campaigns, internal social media platforms, posters, flyers, email signatures)
- Initial communications have been delivered to widespread audiences
- Communications focus is on Awareness (to build alignment)",Describe your cloud communication team. ,,, ,"Please note a TBO is a cross functional body that can be adapted to a Migration Business Office or a  Sustainability Oversight Committee for example. These concepts apply equally depending on the need for oversight and communication. If conducting a composable engagement such as sustainability, change the name of the committee to match the engagement (like Sustainability Oversight Committee (SOC)). ","Channels, Stakeholders, and Alignment","Channels: The Communications Strategy has identified the channels and mediums that will be leveraged during the execution of the plan. This includes internal and external channels, including Town Halls, Outbound Marketing, Email Signatures, Print Media, Traditional Press and Media Outlets, Social Media, Trade Organizations, Industry Conferences, etc.

Stakeholders: The organization has identified the critical stakeholders associated with cloud adoption and the cloud operating model (transformation). The Stakeholder Map is foundational to planning and executing the communications strategy/plan.

Team Alignment: The TBO has established alignment and a commitment from the Communications Team per the Communications Strategy & Execution per Cloud Adoption and Cloud Operating Model transformation.","Channels:
- Assess Available Channels
- Determine the Priority Audience's  Habits and Channel Preferences
- Consider the Strengths and Limitations of Channels
- Determine What Channels Best Fit the Program's Objectives
- Establish a Preference for Reach or Intensity
- Consider the Fit Between Message and Channel
- Select the Channel Mix
- Consider Budget and other Constraints
- Finalize the Channel Mix Plan
Stakeholders:
- Power is the ability of the stakeholder to force change onto the project, or to stop the project altogether.
- Interest is the amount that the stakeholder is affected by the project, and vice versa.  It is size of the overlap between the stakeholder and the project.
--- *High power, high interest* stakeholders are major project stakeholders.  They must be closely managed.
--- *High power, low interest* stakeholders must be kept satisfied or they could derail the project over a minor issue.
--- *Low power, high interest* stakeholders must be kept informed so they feel included in the decision making process and done۪t exert undue influence to stop it.
--- *Low power, low interest* stakeholders must be monitored to ensure they done۪t derail the project.
- Team Alignment:  Engage the Enterprise Communications team to help facilitate and execute the Communications Strategy and plan for more widespread Cloud Adoption, Transformation, and Cloud Operating Model as it relates to critical themes such as:
--- New Technology & Platforms
--- Automation
--- Systems and Data Integration
--- FTE Upskilling",,,
SaG.1.2.3,Strategy & Governance,Communications,"#Sustainability
","#TM
",Yes,Communications Strategy,3,"The organization is actively measuring and tracking progress of transition and maintains effective communication with executives.  Hard organizational changes are coordinated and priorities, organizational alignment, new processes for projects, new operational guidelines, and potential changes in jobs/new roles are published/communicated.","- Cloud Communications Feedback Loop
- Stakeholder Awareness & Education Communication Plans 
- Cloud Communications Self-Service","- The organization has established a formal feedback loop for the Communications Team and overall communications strategy. This feedback includes the capture and analysis of KPIs & Metrics of the communications plan and associated processes, as well as categorical feedback from executives and staff alike
- The organization has established a Stakeholder Awareness & Education plan that focuses on on-going/continued communications that includes such topics as cloud transformation critical successes, cloud adoption KPIs and Metrics, and previews of cloud events, features, and roadmaps as dictated by the Transformation Business Office
- Widespread critical stakeholder alignment has been established and can be measured. These critical stakeholders include the Executive Steering Committee, Executive Sponsor, and Functional Area Leads across the organization
- On-going/regular communications have begun, and the feedback loop established starts to capture and measure results/effectiveness
- The organization has established content via formal reporting, dashboards, etc. such that audiences can consume information in a self-service model
- Communications focus shifts from Awareness to Education
- Communications team has access to Cloud Transformation, Adoption, and Operational KPIs and Metrics
- Change Agents are on board and agree with the vision, strategy, and objectives, and they are performing activities associated with achieving declared objectives
- Points of friction, blockers, and those who oppose the vision, strategy, and objectives are identified as part of the feedback loop, such that the organization can address directly (a point solution) or via a broader continuous improvement effort (as detailed in the next level)",Describe how your communication team measure progress.,,,,"Please note a TBO is a cross functional body that can be adapted to a Migration Business Office or a  Sustainability Oversight Committee for example. These concepts apply equally depending on the need for oversight and communication. If conducting a composable engagement such as sustainability, change the name of the committee to match the engagement (like Sustainability Oversight Committee (SOC)). ",Communications Feedback Loop,"The organization has established a communications plan feedback loop, such that:

* progress and effectiveness can be measured
* continuous improvement and refinement can be applied on a regular basis
* ROI can be established","- Establish feedback channels/mechanisms
- Respond quickly to feedback
- Explicitly ask for real-life experiences from your audiences
- Collect and persist responses for dash boarding, reporting, and insights development
- Review responses
- Make changes that make sense",,,
SaG.1.2.4,Strategy & Governance,Communications,"#Sustainability
","#TM
",Yes,Communications Strategy,4,Momentum is maintained for cloud transformation and the organization ensures that hard changes have consistent conversations.,"- Communications Content Curation
- Communications Cadence
- Continuous Improvement","- The organization has established a formal content curation model and process, which includes (but is not limited to) sources of inputs such as: previews of strategy development, planning and budgeting, new objectives, KPIs, KRIs, Metrics, Business Outcomes, and Success Stories
- TBO emphasizes communications and feedback to align Business Outcomes to IT Goals, Priority, and Direction
- The organization has established a formal communications cadence by channel and audience type.
- Feedback loop is integrated into a continuous improvement culture and process
- Communications focus shifts from Education to Inspiration",Describe the  transformation communication content curation process in place today.,,,,"Please note a TBO is a cross functional body that can be adapted to a Migration Business Office or a  Sustainability Oversight Committee for example. These concepts apply equally depending on the need for oversight and communication. If conducting a composable engagement such as sustainability, change the name of the committee to match the engagement (like Sustainability Oversight Committee (SOC)). ",Content Curation,Momentum is maintained for cloud transformation and the organization ensures that hard changes have consistent conversations.,"The organization has established a formal content curation model and process, which includes (but is not limited to) sources of inputs such as: previews of strategy development, planning and budgeting, new objectives, KPIs, KRIs, Metrics, Business Outcomes, and Success Stories
- TBO emphasizes communications and feedback to align Business Outcomes to IT Goals, Priority, and Direction
- The organization has established a formal communications cadence by channel and audience type.
- Feedback loop is integrated into a continuous improvement culture and process
- Communications focus shifts from Education to Inspiration",,,
SaG.1.2.5,Strategy & Governance,Communications,"#Sustainability
","#TM
",Yes,Communications Strategy,5,"Organization is focused on delivering success messages from executives/key stakeholders, outlining the vision and direction for sustained DevOps and CloudOps, and maintaining OCM/communications governance.  ","- Targeting & Personalization
- User-Generated Content
- Outbound Marketing and Communications","- The communications plan incorporates targeting and personalization by channel and audience/stakeholder group
- The communications plan includes outbound marketing and communications opportunities, such as: industry publications, meet-ups, industry conferences, etc.
- Communications includes content generated by staff contributors (user-generated content) on internal channels that host such things as blogs, videos, whitepapers, articles, etc.",How does your communication program leverage outbound marketing and communications?,,,,"Please note a TBO is a cross functional body that can be adapted to a Migration Business Office or a  Sustainability Oversight Committee for example. These concepts apply equally depending on the need for oversight and communication. If conducting a composable engagement such as sustainability, change the name of the committee to match the engagement (like Sustainability Oversight Committee (SOC)). ",Outbound Marketing & Communications,"The organization is focused on delivering success messages from executives/key stakeholders, outlining the vision and direction for sustained DevOps and CloudOps, and maintaining OCM/communications governance.","- The communications plan includes outbound marketing and communications opportunities, such as: industry publications, meet-ups, industry conferences, etc.
- Communications includes content generated by staff contributors (user-generated content) on internal channels that host such things as blogs, videos, whitepapers, articles, etc.",,,
SaG.1.3.1,Strategy & Governance,Communications,,"#TM
",No,Knowledge &  Information Management,1,"The TBO has identified the topic areas that represent the opportunities for Knowledge/Information Management, and initial sharing is taking place with early adopters via informal mechanisms/channels.",- Knowledge & Information Mgmt. Processes,"- The organization has established knowledge and information management processes to disseminate information across the organization
- Established cloud vision, strategy, and objectives have been communicated to critical change agents
- Knowledge and information management is an integrated component of the broader cloud communications strategy
- Strategy and objectives are shared with the enterprise
- Process changes to support the cloud operating model have been identified and vetted with critical change agents
- Best practices from 3rd-parties with expertise are shared via workshops and other formal/informal communication channels
- Initial feedback from very early adoption is disseminated with the enterprise
- Preferences from stakeholders are integrated with the knowledge sharing approach established at higher maturity levels
- Feedback loops have been established for continuous improvement","Describe how information/knowledge stored and disseminated regarding cloud capabilities. 
 

",,,,"Note: this is the list of critical information management topics. It's OK if a client implementation considers an additional topic area relevant to this capability.

The characteristics at each level speak to the fidelity and enrichment of that management:

- Cloud Roles
- Technology & Architecture
- Security & Networking
- Operations and Operating Model
- Governance Processes
- Cloud Policy
- 3rd-Party Support Model
- Licensing and Enforcement

These are applicable for all 5 levels within this capability",Knowledge and Information Management Process,"As an organization the TBO needs to identified the topic areas that represent the opportunities for Knowledge/Information Management, and initial sharing is needed  with early adopters via informal mechanisms/channels.","- The organization has established knowledge and information management processes to disseminate information across the organization
- Established cloud vision, strategy, and objectives have been communicated to critical change agents
- Knowledge and information management is an integrated component of the broader cloud communications strategy
- Strategy and objectives are shared with the enterprise
- Process changes to support the cloud operating model have been identified and vetted with critical change agents
- Best practices from 3rd-parties with expertise are shared via workshops and other formal/informal communication channels
- Initial feedback from very early adoption is disseminated with the enterprise
- Preferences from stakeholders are integrated with the knowledge sharing approach established at higher maturity levels
- Feedback loops have been established for continuous improvement",,, 
SaG.1.3.2,Strategy & Governance,Communications,,"#TM
",No,Knowledge &  Information Management,2,"The TBO has established formal communication channels, and is leveraging learnings and insights from early cloud adoption efforts to educate both early adopters and subsequent waves of cloud adopters.",- Knowledge & Information Mgmt. Sources/Channels,"- The organization has established channels and ceremonies for knowledge and information management activities and information
- Learnings from early cloud adoption activities are integrated into the plan and have been delivered to the next wave of cloud adopters
- Insights/recommendations from the feedback loop are being incorporated into outbound communications
- Sharing and education around formal roles and job functions start to materialize, including specialized functions
- Cloud operating model processes are by and large defined, and are shared with adopters
- Some policy is documented, and compliance is inconsistent ... but TBO is educating and communicating adopters on what exists
- Selective outsourcing is leveraged, but most often with weak/inadequate oversight ... adopters are informed on management approaches and outcomes
- Inconsistent licensing and enforcement ... but cloud stakeholders are kept in the loop as to what improvements and changes are being implemented and planned
- Formal knowledge/information management channels and audiences have been established",Describe the communication channels leveraged to share the cloud strategy. ,,,,,Knowledge and Information Management Channels,"As an organization, the TBO needs to established formal communication channels, and leverage learnings and insights from early cloud adoption efforts to educate both early adopters and subsequent waves of cloud adopters.","- The organization has established channels and ceremonies for knowledge and information management activities and information
- Learnings from early cloud adoption activities are integrated into the plan and have been delivered to the next wave of cloud adopters
- Insights/recommendations from the feedback loop are being incorporated into outbound communications
- Sharing and education around formal roles and job functions start to materialize, including specialized functions
- Cloud operating model processes are by and large defined, and are shared with adopters
- Some policy is documented, and compliance is inconsistent ... but TBO is educating and communicating adopters on what exists
- Selective outsourcing is leveraged, but most often with weak/inadequate oversight ... adopters are informed on management approaches and outcomes
- Inconsistent licensing and enforcement ... but cloud stakeholders are kept in the loop as to what improvements and changes are being implemented and planned
- Formal knowledge/information management channels and audiences have been established",,,
SaG.1.3.3,Strategy & Governance,Communications,,"#TM
",No,Knowledge &  Information Management,3,"The TBO has a more extensive library/source of guidelines, best practices, and successes across the full complement of knowledge/information topics, and is sharing that information to broader audiences across the organization.",- Knowledge & Information Mgmt. Repositories,"- The organization has an established repository of examples which enriches the knowledge base and supports customer self-service
- Best practices from delivery and operations are incorporated into the knowledge base, which include DevOps/SDLC Processes, Tooling, Policy Implementation, Day 2 Operations, and 3rd-party software licensing
- People performance and metrics exist for well-defined roles ... and these results are communicated such that business units can plan and budget accordingly
- Best-practice processes emerge ... and stakeholders are encouraged to adopt and improve as the organization moves toward defining comprehensive standards
- Tools and technology are integrated with critical/pervasive processes ... these are communicated to those who are in flight with cloud adoption, as well as with those who are planning adoption ... this has a trickle down to complimentary processes that fuel the comprehensive supply chain
- Policies are pervasive, maintained, communicated, and audited ... and the TBO communicates to prepare those who have adopted cloud or plan to ... this sets expectations around compliance, remediation, exception processes, and technical debt mgmt.
- Vendor usage is driven by a deliberate strategy, and has adequate oversight ... and this is shared to the business unit level such that they can plan, design, and implement their reference architectures accordingly
- Formal licensing and enforcement exists ... and this is shared with business units such that they can deliberately plan their consumption model and architectural approaches",Describe how knowledge and information repositories are used to improve the communication program.,,,,,Knowledge and Information Management Repositories ,"As an organization, the TBO needs a more extensive library/source of guidelines, best practices, and successes across the full complement of knowledge/information topics, and needs to share that information to broader audiences across the organization.","- The organization has an established repository of examples which enriches the knowledge base and supports customer self-service
- Best practices from delivery and operations are incorporated into the knowledge base, which include DevOps/SDLC Processes, Tooling, Policy Implementation, Day 2 Operations, and 3rd-party software licensing
- People performance and metrics exist for well-defined roles ... and these results are communicated such that business units can plan and budget accordingly
- Best-practice processes emerge ... and stakeholders are encouraged to adopt and improve as the organization moves toward defining comprehensive standards
- Tools and technology are integrated with critical/pervasive processes ... these are communicated to those who are in flight with cloud adoption, as well as with those who are planning adoption ... this has a trickle down to complimentary processes that fuel the comprehensive supply chain
- Policies are pervasive, maintained, communicated, and audited ... and the TBO communicates to prepare those who have adopted cloud or plan to ... This sets expectations around compliance, remediation, exception processes, and technical debt mgmt.
-  Vendor usage is driven by a deliberate strategy, and has adequate oversight ... and this is shared to the business unit level such that they can plan, design, and implement their reference architectures accordingly
- Formal licensing and enforcement exists ... and this is shared with business units such that they can deliberately plan their consumption model and architectural approaches",,,
SaG.1.3.4,Strategy & Governance,Communications,,"#TM
",No,Knowledge &  Information Management,4,The TBO is leveraging critical Metrics and Outcomes to drive the elements of the cloud adoption and operating model that has delivered the best results. The organization has an extensive library of examples to leverage across the organization.,- Historical Metrics & Outcomes,"- Best practices and knowledge is based upon the achievement of business outcomes with real KPIs and Metrics to support claims and best practices
- Information-sharing is more prevalent via self-service dash boarding and reporting ... the organization has had enough time and associated results to establish an approach to knowledge management and prioritization of effort around economies of scale/scope
- The organization has delivered cloud-first, hybrid-, and multi-cloud implementations at scale, and knowledge management reflects that body of work
- Customers are actively pursuing information and knowledge being moderated by the TBO
- Strategy and priorities align to corporate objectives ... and this is shared with stakeholders such that lessons learned trickle down to local business unit objectives and plans
- Process metrics are driving continuous improvement for critical processes ... knowledge dissemination drives enhancements at the business unit level via the power of crowds data sourcing
- Information-sharing is more prevalent via self-service dash boarding and reporting ... the organization has had enough time and associated results to establish an approach to knowledge management and prioritization of effort around economies of scale/scope
- Compliance is mandated at the Enterprise level ... and the techniques and positive results achieved thus far are communicated to the business units
- Best practices evolve, and a natural integration of first- and third-party capabilities and services emerges ... these enterprise learnings are disseminated to business units for their own adoption/manipulation to solve unique business problems
- Licensing and enforcement is integrated with corporate strategy and systems (supporting a true hybrid model) ... benefits of the ""cloud first"" model start to receive attention and priority, helping both centralized and de-centralized business functions plan, design, and adopt appropriate licensed solutions",Describe your cloud communication team. ,,,,,Knowledge and Information Management Historical Outcomes,"As an organization, the TBO is leveraging critical Metrics and Outcomes to drive the elements of the cloud adoption and operating model. The organization needs an extensive library of examples to leverage across the organization.","- Best practices and knowledge is based upon the achievement of business outcomes with real KPIs and Metrics to support claims and best practices
- Information-sharing is more prevalent via self-service dash boarding and reporting ... the organization has had enough time and associated results to establish an approach to knowledge management and prioritization of effort around economies of scale/scope
- The organization has delivered cloud-first, hybrid-, and multi-cloud implementations at scale, and knowledge management reflects that body of work
- Customers are actively pursuing information and knowledge being moderated by the TBO
- Strategy and priorities align to corporate objectives ... and this is shared with stakeholders such that lessons learned trickle down to local business unit objectives and plans
- Process metrics are driving continuous improvement for critical processes ... knowledge dissemination drives enhancements at the business unit level via the power of crowds data sourcing
- Information-sharing is more prevalent via self-service dash boarding and reporting ... the organization has had enough time and associated results to establish an approach to knowledge management and prioritization of effort around economies of scale/scope
- Compliance is mandated at the Enterprise level ... and the techniques and positive results achieved thus far are communicated to the business units
-Best practices evolve, and a natural integration of first- and third-party capabilities and services emerges ... these enterprise learnings are disseminated to business units for their own adoption/manipulation to solve unique business problems
- Licensing and enforcement is integrated with corporate strategy and systems (supporting a true hybrid model) ... benefits of the ""cloud first"" model start to receive attention and priority, helping both centralized and de-centralized business functions plan, design, and adopt appropriate licensed solutions",,,
SaG.1.3.5,Strategy & Governance,Communications,,"#TM
",No,Knowledge &  Information Management,5,"The TBO is promoting best practices and techniques to drive business differentiation, operational efficacy, and innovation.",- Extensible Differentiators,"- Best practices and derived knowledge are driving innovation and business outcome differentiation
- Knowledge mgmt. pertains to all facets of cloud delivery and operations
- Strategy can flex and pivot based upon changing/fluid marketplace conditions and business priority
- Process feedback loop is driving widespread continuous improvement
- Information-sharing via ad hoc queries and forensics
- Compliance is mature
- Licensing and enforcement supports multi-cloud strategy for both workforce and customer domains",Describe how your communication team measure progress.,,,,,Knowledge and Information Management Best Practices,"As an organization, the TBO  needs to  promote best practices and techniques to drive business differentiation, operational efficacy, and innovation.","- Best practices and derived knowledge are driving innovation and business outcome differentiation
- Knowledge mgmt. pertains to all facets of cloud delivery and operations
-  Strategy can flex and pivot based upon changing/fluid marketplace conditions and business priority
- Process feedback loop is driving widespread continuous improvement
- Information-sharing via ad hoc queries and forensics
- Compliance is mature
- Licensing and enforcement supports multi-cloud strategy for both workforce and customer domains",, ,
