Domain,Capability,Assessment,Criteria1,Criteria2
DevOps,Automation Framework,Tfs automatic deployment use dms to query atm status in Taiwan check whether the documents are complete through the system,"Standardized Toolset: Listen for ""comprehensive toolset,"" ""organization-wide standards,"" and ""unified processes.""Tooling for Development and Deployment: Keywords like ""integrated tooling,"" ""support for application development,"" and ""deployment tool standardization"" are crucial.Infrastructure Templates: Terms such as ""standardized templates,"" ""consistent deployment,"" and ""infrastructure efficiency"" indicate a mature approach./The organization has a standardized set of tools and processes to cover all infrastructure needs. Decisions on tooling to support application development and deployment are made, and standardized infrastructure templates are developed and in use. This le/","Standardized Toolset: Listen for ""comprehensive toolset,"" ""organization-wide standards,"" and ""unified processes.""Tooling for Development and Deployment: Keywords like ""integrated tooling,"" ""support for application development,"" and ""deployment tool standardization"" are crucial.Infrastructure Templates: Terms such as ""standardized templates,"" ""consistent deployment,"" and ""infrastructure efficiency"" indicate a mature approach./The organization has a standardized set of tools and processes to cover all infrastructure needs. Decisions on tooling to support application development and deployment are made, and standardized infrastructure templates are developed and in use. This le/"
DevOps,CI/CD DevOps,Save time and avoid human error,Shared Repository Impact: Enhancements to CI/CD practices through centralization.Automation Impact: Efficiency and reliability benefits from automated builds and testing.Consistency Across Teams: Management of CI/CD uniformity. /The organization has a shared repository of CI/CD tools used by all relevant teams. Most teams use automated builds and some form of scripting for testing and deployment. CI/CD tools and practices are consistent between teams./,Shared Repository Impact: Enhancements to CI/CD practices through centralization.Automation Impact: Efficiency and reliability benefits from automated builds and testing.Consistency Across Teams: Management of CI/CD uniformity. /The organization has a shared repository of CI/CD tools used by all relevant teams. Most teams use automated builds and some form of scripting for testing and deployment. CI/CD tools and practices are consistent between teams./
DevOps,Cont. Compliance Automation,"If the risk is medium or high, we must modify the code and rescan until low risk appears. Corrections or clarifications must be completed within the prescribed time limit cooperate with the compliance department of safety and security to scan for weaknesses and handle reports","Automated Compliance Impact: Improvement in compliance posture.Scripted Remediations: Effectiveness of scripted compliance actions.Unified System for Audits: Contribution to compliance and operational efficiency. /Automated Visibility and reporting: Automated compliance scanning and reporting for all environments. Some remediation's scripted, but triggered manually./","Automated Compliance Impact: Improvement in compliance posture.Scripted Remediations: Effectiveness of scripted compliance actions.Unified System for Audits: Contribution to compliance and operational efficiency. /Automated Visibility and reporting: Automated compliance scanning and reporting for all environments. Some remediation's scripted, but triggered manually./"
DevOps,Test Automation (Shift Left),Tfs automated deployment tool,Standardized Automated Testing: Ensuring testing effectiveness and coverage.Defined Process for Automation: Communication and enforcement of testing processes.Improvement as Objective: Approach to test automation continuous improvement./Standardized Automated testing design and implementation for infrastructure deployments. All teams follow a defined process of using some form of test Automation and improvement of the capabilities is a business priority and valuable to the organization./,Standardized Automated Testing: Ensuring testing effectiveness and coverage.Defined Process for Automation: Communication and enforcement of testing processes.Improvement as Objective: Approach to test automation continuous improvement./Standardized Automated testing design and implementation for infrastructure deployments. All teams follow a defined process of using some form of test Automation and improvement of the capabilities is a business priority and valuable to the organization./
DevOps,Communication/ Collaboration,Developing an in-line rpa process may involve:1. The information department team that maintains and manages the business system2. The team responsible for maintaining and operating the rra system and the team that develops the rpa process3. Business management unit4. Business process analysis unit only through cross-team collaboration and the establishment of a complete division of labor mechanism can the rpa process be successfully introduced.,Standardized Collaboration: Outcomes from standardized cross-team methods.Documentation Accessibility: Speeding up onboarding with well-documented practices.Initiatives for Communication: Project outcomes or team dynamics improvements. /defined: Development and operations teams have a standardized and documented method for cross team collaboration and learning. /,Standardized Collaboration: Outcomes from standardized cross-team methods.Documentation Accessibility: Speeding up onboarding with well-documented practices.Initiatives for Communication: Project outcomes or team dynamics improvements. /defined: Development and operations teams have a standardized and documented method for cross team collaboration and learning. /
DevOps,DevOps-Specific Skill Development,Being on the same team improves an organization's ability to quickly deliver applications and services.,"Process for Skill Gaps: Upskilling team benefits.Talent Development Plans: Catering to comprehensive skill requirements.Centralized Repository Use: Skill development enhancement. /Defined: Organization defines skill gap analysis process and requires all teams to keep an up-to-date plan for filling identified gaps via talent development plans. Leadership builds processes to remove barriers preventing cross-functional teams, begins to track basic metrics/KPIs associated with effectiveness of education and upskilling program, has robust education and upskilling programs that all employees are required to take some level of, and has a robust centralized repository to store DevOps skill-related education/data./","Process for Skill Gaps: Upskilling team benefits.Talent Development Plans: Catering to comprehensive skill requirements.Centralized Repository Use: Skill development enhancement. /Defined: Organization defines skill gap analysis process and requires all teams to keep an up-to-date plan for filling identified gaps via talent development plans. Leadership builds processes to remove barriers preventing cross-functional teams, begins to track basic metrics/KPIs associated with effectiveness of education and upskilling program, has robust education and upskilling programs that all employees are required to take some level of, and has a robust centralized repository to store DevOps skill-related education/data./"
DevOps,Organizational Values / Vison,Continuous improvement through pdca improve the frequency and speed of version releases adjust development strategies with reference to guidelines issued by competent authorities,"Defined and Communicated Values: Reflection in operations and decision-making.Incentivization for Collaboration: Impact on team dynamics and productivity.Strategy Implementation: Measuring success and impact. /The organization values continuous improvement, and it is a priority. The level of engagement and resource investment in the activity is evident.Company strategy dictates that all relevant employees have goals and incentivized to collaborate and improve common standards, automation, and shared DevOps practices. This strategy has just been defined and is currently being proven and potentially rolled out companywide./","Defined and Communicated Values: Reflection in operations and decision-making.Incentivization for Collaboration: Impact on team dynamics and productivity.Strategy Implementation: Measuring success and impact. /The organization values continuous improvement, and it is a priority. The level of engagement and resource investment in the activity is evident.Company strategy dictates that all relevant employees have goals and incentivized to collaborate and improve common standards, automation, and shared DevOps practices. This strategy has just been defined and is currently being proven and potentially rolled out companywide./"
DevOps,Automation Standards,"Through collaboration with consultants in the early stage, we learned which processes are suitable for automation; during the initial confirmation and introduction of the mechanism, relevant specifications will be formulated to comply with internal and external regulations; when the mechanism is mature, the previously established specifications will be adjusted to fit the overall automation framework.tfs creates scripts to complete automated deployment","Guided Automation Adoption: Listen for ""established processes,"" ""in line with framework,"" and ""organization-wide procedures.""Developed Standards: Terms like ""governance standards,"" ""automation policies,"" and ""company-wide guidelines"" are significant.Cohesive Automation Approach: Look for ""consistency across teams,"" ""unified practices,"" and ""organizational alignment.""/Established processes/procedures guide automation adoption in line with the Automation Framework. Standards developed to govern automation approach and develop tooling boundaries. /","Guided Automation Adoption: Listen for ""established processes,"" ""in line with framework,"" and ""organization-wide procedures.""Developed Standards: Terms like ""governance standards,"" ""automation policies,"" and ""company-wide guidelines"" are significant.Cohesive Automation Approach: Look for ""consistency across teams,"" ""unified practices,"" and ""organizational alignment.""/Established processes/procedures guide automation adoption in line with the Automation Framework. Standards developed to govern automation approach and develop tooling boundaries. /"
DevOps,"Design, Strategy, and Standards",Defining clear rules under the information security and information communication specifications for developers to follow will help provide information security-related protection during the application development process and reduce the occurrence of information security incidents.,Organization-wide Standards: Contribution to development efficiency.Adherence in New Developments: Example of project adherence to standards. /Standards for application design and consumption of PaaS resources leveraging cloud best practices are well defined and in use organization wide. All new application development follows these standards regardless of desired hosting location./,Organization-wide Standards: Contribution to development efficiency.Adherence in New Developments: Example of project adherence to standards. /Standards for application design and consumption of PaaS resources leveraging cloud best practices are well defined and in use organization wide. All new application development follows these standards regardless of desired hosting location./
DevOps,"Visibility, Metrics and Goals","Self-checkiso20000, iso27001use plan-do-study continuously improve regular audits",Governance and Monitoring Coverage: Transparency and accountability enhancements.Workflow Understanding: Contributions to product and feature development. /All business units are covered by basic governance and monitoring mechanisms. /,Governance and Monitoring Coverage: Transparency and accountability enhancements.Workflow Understanding: Contributions to product and feature development. /All business units are covered by basic governance and monitoring mechanisms. /
