uid,ID,Domain,Level,Capability,Binary Question,Open Ended Questions
1,Apps.7.1.1,Applications,1,Infrastructure as Code (IaC),"Does the organization primarily rely on manual processes with minimal use of infrastructure as code (iac), leading to inconsistencies across environments?","1. Can you describe the current processes in place for developing and deploying applications, and to what extent infrastructure as code (iac) is utilized in these processes?

2. How do you ensure consistency across different environments when it comes to deploying applications, considering the current level of manual processes and minimal use of iac?

3. In what ways are cost optimization and innovative architectures being prioritized in the development and deployment of cloud-native applications, given the existing challenges with manual processes and limited adoption of iac?"
2,Apps.7.1.2,Applications,2,Infrastructure as Code (IaC),Does the organization have standardized and fully automated infrastructure as code (iac) processes in place for all projects?,"1. Can you provide examples of projects where infrastructure as code (iac) has been implemented to automate application management?
2. How standardized and consistent is the implementation of iac across different projects within the organization?
3. What steps are being taken to increase automation and standardization in the iac implementation process to achieve robust operations across environments?"
3,Apps.7.1.3,Applications,3,Infrastructure as Code (IaC),"Is infrastructure as code (iac) standardized across most projects in your organization, with automation tools widely adopted, even though some manual processes may still exist? (yes/no)","1. Can you provide examples of how infrastructure as code (iac) is standardized across your projects?
2. How extensively are automation tools utilized in your infrastructure provisioning and management processes?
3. In what areas do manual processes still exist in your infrastructure deployment practices despite the adoption of iac?"
4,Apps.7.1.4,Applications,4,Infrastructure as Code (IaC),"Is infrastructure as code (iac) fully integrated within the organization, with advanced automation ensuring consistent and rapid provisioning of cloud environments? (yes/no)","1. Can you describe how infrastructure as code (iac) is fully integrated within your organization's cloud environment provisioning processes?
2. How does your organization utilize advanced automation to ensure consistent and rapid provisioning of cloud environments through infrastructure as code (iac)?
3. In what ways has the implementation of infrastructure as code (iac) enhanced the efficiency and effectiveness of provisioning cloud environments within your organization?"
5,Apps.7.1.5,Applications,5,Infrastructure as Code (IaC),Does the organization continuously refine its infrastructure as code practices to support dynamic and complex environments with ease and minimal human intervention? (yes/no),"1. How frequently are your infrastructure as code (iac) practices reviewed and refined to ensure they are up-to-date and effective in supporting dynamic and complex environments?
2. Can you describe the level of ease and user-friendliness experienced by your team when working with iac tools and processes in your organization?
3. To what extent does your current iac implementation minimize the need for human intervention in managing and maintaining infrastructure resources in your organization?"
6,Apps.7.2.1,Applications,1,Continuous Integration/Continuous Deployment (CI/CD),"Does the organization consistently apply ci/cd practices for deployment, or is deployment still manual and prone to errors?","1. Can you describe the current process for deploying applications within your organization and how ci/cd practices are integrated into this process?
2. What challenges or obstacles have you encountered in implementing automated deployment processes and ensuring consistency in application deployment?
3. How do you measure the success and effectiveness of your ci/cd practices in terms of reducing errors and optimizing costs in application deployment?"
7,Apps.7.2.2,Applications,2,Continuous Integration/Continuous Deployment (CI/CD),Does the organization have ci/cd pipelines in place for all projects with full integration and no manual steps remaining?,"1. Can you describe the current status of ci/cd pipelines implementation in your organization? 
2. What are the main challenges faced in achieving full integration of ci/cd pipelines across projects? 
3. How are manual steps in the ci/cd process being identified and addressed to move towards automation and efficiency?"
8,Apps.7.2.3,Applications,3,Continuous Integration/Continuous Deployment (CI/CD),"Is continuous integration/continuous deployment (ci/cd) integrated into most projects in your organization, improving deployment frequency and reducing failures, but with optimization opportunities still existing?","1. How frequently are ci/cd practices integrated into your projects?
2. In what ways have you observed improvements in deployment frequency and reduction in failures since implementing ci/cd?
3. Can you provide examples of optimization opportunities that have been identified to enhance your ci/cd processes further?"
9,Apps.7.2.4,Applications,4,Continuous Integration/Continuous Deployment (CI/CD),"Does the organization's ci/cd pipelines demonstrate highly efficient processes, advanced automation, and seamless deployments across environments? (yes/no)","1. How extensively are ci/cd pipelines utilized within the organization to facilitate efficient and automated deployments across different environments?
2. Can you provide examples of how advanced automation is integrated into the ci/cd pipelines to streamline the deployment process?
3. In what ways have seamless deployments across environments been achieved through the implementation of ci/cd pipelines in the organization?"
10,Apps.7.2.5,Applications,5,Continuous Integration/Continuous Deployment (CI/CD),Does the organization's ci/cd processes support high-velocity deployments with near-zero errors and downtime?,"1. How do you ensure that your ci/cd processes are continuously optimized and perfected to support high-velocity deployments?
2. Can you provide examples of how your organization has successfully achieved near-zero errors and downtime during deployments through ci/cd practices?
3. In what ways have you transitioned from traditional architectures to more cloud-adaptive models in your application development, and how has this impacted your overall resilience strategies?"
