capability_id,capability_name,level,rewritten_criteria
712,Communications Strategy,1,"The company has begun a collaborative effort between the Technology Business Office (TBO) and the Communications teams to create a Communications Strategy. Essential information has been disseminated to change facilitators and significant staff members. The Communications team has a thorough understanding of the Cloud Vision, Strategy, and Objectives as outlined by the TBO. They are also cognizant of the Cloud Vision, Strategy, and Objectives set forth by the TBO. The Communications team is fully aware and comprehends the Cloud Vision, Strategy, and Objectives established by the TBO."
712,Communications Strategy,2,"The organization has developed an inclusive communication strategy involving all internal stakeholders. This plan has been successfully shared with crucial IT and business leaders, the Executive Steering Committee, and essential functional area collaborators. It also reaches a wider audience within the IT and Business divisions. The Communications Team is fully aligned with the cloud's vision, strategy, and goals. The Communications Team's alignment with the cloud vision, strategy, and goals is now complete."
712,Communications Strategy,3,"The organization consistently monitors and manages its progress during periods of change, ensuring clear communication with its leaders. It handles major organizational shifts, effectively communicating priorities, alignment, new project strategies, operational procedures, and potential job or role changes. A well-structured feedback system is in place for the Communications Team and the overall communications strategy. This system involves collecting and analyzing Key Performance Indicators (KPIs) and metrics related to the communications plan and its processes. It also includes specific feedback from both executives and employees. The organization has implemented a formal feedback system for the Communications Team and the comprehensive communications strategy. This system captures and examines KPIs and metrics of the communications plan and its associated processes, as well as specific feedback from both executives and staff. The organization has also established a formal feedback loop for the Communications Team and the overall communications strategy, capturing and analyzing KPIs and metrics of the communications plan and related processes, and gathering specific feedback from executives and staff."
712,Communications Strategy,4,"The organization maintains momentum in its cloud transformation by regularly discussing significant changes. A well-structured content curation model and procedure are in place, drawing from various sources. These sources include previews of strategy development, planning and budgeting, new objectives, key performance indicators, key risk indicators, metrics, business outcomes, and success stories. This formal content curation model and process ensure a comprehensive and consistent approach to communication."
712,Communications Strategy,5,"The organization emphasizes the communication of its long-term vision and strategic direction for DevOps and CloudOps, as conveyed by executives and key stakeholders. It also underscores the importance of governance in Organizational Change Management (OCM) and communications. The communication strategy is crafted to deliver specific messages to particular channels and audiences or stakeholder groups. The communications plan is integrated with this approach, ensuring that messages are targeted and personalized based on the channel and audience or stakeholder group. The communications plan further enhances this by incorporating targeted and personalized messaging for each channel and audience or stakeholder group."
713,Knowledge &  Information Management,3,"The Total Business Operation (TBO) encompasses a wide range of guidelines, best practices, and successful case studies covering diverse knowledge and information domains. This vital data is disseminated throughout the organization. Additionally, the organization maintains a substantial collection of examples that enhance the overall knowledge base and encourage customer self-service. A well-organized repository of these examples exists, strengthening the knowledge base and facilitating customer self-service. The organization has a dedicated repository of examples that augment the knowledge base and foster customer self-service in the realm of Knowledge & Information Management."
713,Knowledge &  Information Management,4,"The TBO employs crucial metrics and results to steer the elements of cloud adoption and operational model that have proven most effective. The organization keeps an extensive library of examples for internal reference. The foundation of best practices and knowledge is the accomplishment of business objectives, supported by concrete KPIs and metrics. Past metrics and outcomes inform best practices and knowledge, which are grounded in the achievement of business goals and backed by verifiable KPIs and metrics."
713,Knowledge &  Information Management,5,"The TBO is promoting the use of ideal techniques and strategies to cultivate distinctive business characteristics, improve operational effectiveness, and encourage innovation. The implementation of these superior practices and the insights gained from them are fueling innovation and generating a significant impact on business. The application of best practices and the knowledge derived from them are driving innovation and differentiating business outcomes."
713,Knowledge &  Information Management,1,"The organization, TBO, has identified specific areas that hold promise for Knowledge/Information Management. At present, preliminary information sharing is underway with early adopters via informal channels. The organization has implemented processes for managing and distributing knowledge and information across all departments. These established Knowledge & Information Management Processes ensure that information is effectively disseminated throughout the organization."
713,Knowledge &  Information Management,2,"The organization, TBO, has established formal channels for communication and is applying the learnings from its initial cloud adoption initiatives to guide both initial and future cloud adopters. To manage knowledge, information activities, and data, the organization has implemented specific systems and procedures. Furthermore, it has set up dedicated sources and events for managing knowledge and information activities."
714,Organizational Change Management,1,"Change management at this level is typically reactive, acting as an auxiliary component rather than being a core part of the main program. It is not integrated with the Project Management Office (PMO) or other transformation initiatives. This disjointed approach and lack of effective communication often leaves employees unprepared for changes, as they usually find out about them indirectly. Managers, leaders, and sponsors are frequently uninformed, with executive support mainly demonstrated through funding provision. Consequently, change management training is also reactive and lacks integration with the PMO or other transformation initiatives. Programs operating at this level may display one or more of these traits. Change management training is reactive and supplementary to the program, with no integration with the PMO or other transformation efforts. Programs at this level may display one or more of the mentioned characteristics."
714,Organizational Change Management,2,"The organization is starting to show signs of change management within specific teams or areas, with sporadic attempts at communication. However, these attempts lack central coordination and the organization struggles to set a unified goal or theme for change management. Formal training for managers and supervisors to lead their teams through change is absent. Despite this, some sections of the organization, irrespective of their job role or function, are showing early signs of change management. These groups are typically early adopters or those with high emotional intelligence, indicating their capability and willingness to adapt to change. Elements of change management are starting to surface in isolated areas of the organization, particularly among groups identified as early adopters or those with high emotional intelligence, indicating their readiness and opportunity to adapt."
714,Organizational Change Management,3,"At this initial stage, certain teams or departments within the organization begin to implement a structured process for managing changes. Knowledge sharing between teams is at a basic level, and senior leadership starts to actively support change. Project leaders and team members are provided with standardized training and tools, equipping managers with the necessary resources to guide frontline employees. Groups that utilize a structured change management process and acknowledge achievements start to emerge. However, change management is still limited to specific teams or departments. Organizations at this maturity level may display one or more of the following characteristics: the emergence of reward and celebration groups, the use of a structured change management process, and the confinement of change management to particular teams or areas."
714,Organizational Change Management,4,"The organization has implemented a consistent change management strategy and set standards for its application on all new projects or alterations. This strategy is widely acknowledged and understood across the company, with leadership acting as advocates for change on projects and providing formal training and tools. The standard Change Management Methodology signifies that the organization has chosen a uniform approach and established standards for its application on every new project or change. It's important to understand that a shared methodology doesn't suggest a one-size-fits-all solution; effective methodologies utilize repeatable steps, but they achieve the best results when adapted to each project's unique requirements. Organizations at this maturity level may display one or more of the following characteristics: Standard Change Management Methodology The organization has chosen a shared approach and established standards for applying change management on every new project or change. Note: a shared methodology does not imply a one-size-fits-all solution; effective methodologies incorporate repeatable steps, but they are most effective when customized to the specific needs of each project. Organizations at this level may display one or more of the following characteristics:"
714,Organizational Change Management,5,"The organization recognizes the importance of change management maturity and competency. This is reflected in the strategic goals set out by the executive team, which prioritize effective change management. Managers and supervisors regularly use change management techniques to aid different initiatives and support their teams. The organization gathers and uses data to consistently enhance its change management methodology, tools, and training. Organizations at this level may display one or more of the following traits: clear change management goals, change management maturity and competency as integral skills."
715,Relationship Management,1,The organization recognizes the importance of having a systematic approach to manage relationships. The function of a relationship manager may be associated with a formal job position or viewed as an essential skill. This is relevant to the management of business relationships across diverse stakeholder groups. The term 'Business Relationship Management' refers to these stakeholder groups.
715,Relationship Management,2,"The organization must establish a comprehensive strategy to manage relationships, which includes transparent communication of expectations and deliverables within the scope of Customer Satisfaction and Business Relationship Management processes."
715,Relationship Management,3,The organization is expected to continually improve its management of relationships. The senior executives keep organized schedules to review needs and assess delivery expectations. This includes both the Senior Leadership Relationship Management and Business Relationship Management processes.
715,Relationship Management,4,"All employees throughout the organization possess comprehensive skills in managing relationships. This involves a consistent effort to enhance the way they handle business relationships, under the principle of Continuous Improvement Business Relationship Management."
716,Reporting & Analytics,1,"The organization's cloud performance analysis is currently uncoordinated, leading to disagreements among departments about the most reliable data source. There is no thorough reporting or dashboarding for cloud performance. Although data is somewhat incorporated into narrative creation, it is merely shown rather than effectively utilized to shape outcomes, strategies, and decisions. Despite data being somewhat involved in storytelling, it's only displayed and not sufficiently leveraged to drive results, strategies, and conclusions."
